Time (s),Time (m),PO2 (%),O2 (mg/L),VO2 (mg O2/hr)
0,0,104.62,7.030464,
300,5,103.49,6.954528,0.3644928
600,10,102.13,6.863136,
900,15,101.07,6.791904,0.3419136
1200,20,99.939,6.7159008,0.36481536
1500,25,98.85,6.64272,0.35126784
1800,30,97.739,6.5680608,0.35836416
2100,35,96.672,6.4963584,0.34417152
2400,40,95.671,6.4290912,0.32288256
2700,45,94.647,6.3602784,0.33030144
3000,50,93.637,6.2924064,0.3257856
3300,55,92.606,6.2231232,0.33255936
3600,60,91.649,6.1588128,0.30868992
3900,65,90.585,6.087312,0.34320384
4200,70,89.786,6.0336192,
4500,75,88.857,5.9711904,0.29965824
4800,80,87.955,5.910576,0.29094912
5100,85,87.028,5.8482816,0.29901312
5400,90,86.119,5.7871968,0.29320704
5700,95,85.22,5.726784,0.28998144
6000,100,84.384,5.6706048,0.26966016
6300,105,83.553,5.6147616,0.26804736
6600,110,82.608,5.5512576,0.3048192
6900,115,81.801,5.4970272,0.26030592
7200,120,80.929,5.4384288,0.28127232
7500,125,80.032,5.3781504,0.28933632
7800,130,79.211,5.3229792,0.26482176
8100,135,78.367,5.2662624,0.27224064
8400,140,77.623,5.2162656,0.23998464
8700,145,76.713,5.1551136,0.2935296
9000,150,75.851,5.0971872,0.27804672
9300,155,75.146,5.0498112,
9600,160,74.31,4.993632,0.26966016
9900,165,73.516,4.9402752,0.25611264
10200,170,72.716,4.8865152,0.258048
10500,175,71.887,4.8308064,0.26740224
10800,180,71.055,4.774896,0.26836992
11100,185,70.293,4.7236896,0.24579072
11400,190,69.562,4.6745664,0.23579136
11700,195,68.797,4.6231584,0.2467584
12000,200,67.959,4.5668448,0.27030528
12300,205,67.156,4.5128832,0.25901568
12600,210,66.382,4.4608704,0.24966144
12900,215,65.656,4.4120832,0.23417856
13200,220,64.952,4.3647744,0.22708224
13500,225,64.196,4.3139712,0.24385536
13800,230,63.379,4.2590688,0.26353152
14100,235,62.692,4.2129024,0.22159872
14400,240,61.992,4.1658624,0.225792
14700,245,61.202,4.1127744,0.2548224
15000,250,60.5,4.0656,0.22643712
15300,255,59.776,4.0169472,0.23353344
15600,260,59.049,3.9680928,0.23450112
15900,265,58.352,3.9212544,0.22482432
16200,270,57.594,3.8703168,0.24450048
16500,275,56.887,3.8228064,0.22804992
16800,280,56.206,3.7770432,0.21966336
17100,285,55.414,3.7238208,0.25546752
17400,290,54.767,3.6803424,0.20869632
17700,295,54.068,3.6333696,0.22546944
18000,300,53.374,3.5867328,0.22385664
18300,305,52.722,3.5429184,0.21030912
18600,310,52.005,3.494736,0.23127552
18900,315,51.386,3.4531392,0.19966464
19200,320,50.743,3.4099296,0.20740608
19500,325,50.021,3.3614112,0.23288832
19800,330,49.351,3.3163872,0.2161152
20100,335,48.677,3.2710944,0.21740544
20400,340,48.026,3.2273472,0.20998656
20700,345,47.35,3.18192,0.21805056
21000,350,46.74,3.140928,0.1967616
21300,355,46.079,3.0965088,0.21321216
21600,360,45.409,3.0514848,0.2161152
21900,365,44.844,3.0135168,
22200,370,44.151,2.9669472,0.22353408
22500,375,43.53,2.925216,0.20030976
22800,380,42.91,2.883552,0.1999872
23100,385,42.272,2.8406784,0.20579328
23400,390,41.639,2.7981408,0.20418048
23700,395,41.027,2.7570144,0.19740672
24000,400,40.415,2.715888,0.19740672
24300,405,39.764,2.6721408,0.20998656
24600,410,39.138,2.6300736,0.20192256
24900,415,38.539,2.5898208,0.19321344
25200,420,37.908,2.5474176,0.20353536
25500,425,37.295,2.506224,0.19772928
25800,430,36.689,2.4655008,0.19547136
26100,435,36.091,2.4253152,0.19289088
26400,440,35.459,2.3828448,0.20385792
26700,445,34.884,2.3442048,0.185472
27000,450,34.284,2.3038848,0.193536
27300,455,33.674,2.2628928,0.1967616
27600,460,33.068,2.2221696,0.19547136
27900,465,32.491,2.1833952,0.18611712
28200,470,31.92,2.145024,0.18418176
28500,475,31.33,2.105376,0.1903104
28800,480,30.767,2.0675424,0.18160128
29100,485,30.209,2.0300448,0.17998848
29400,490,29.577,1.9875744,0.20385792
29700,495,29.018,1.9500096,0.18031104
30000,500,28.467,1.9129824,0.17773056
30300,505,27.895,1.874544,0.18450432
30600,510,27.323,1.8361056,0.18450432
30900,515,26.805,1.801296,0.16708608
31200,520,26.232,1.7627904,0.18482688
31500,525,25.7,1.72704,0.17160192
31800,530,25.128,1.6886016,0.18450432
32100,535,24.594,1.6527168,0.17224704
32400,540,24.063,1.6170336,0.17127936
32700,545,23.552,1.5826944,0.16482816
33000,550,23.017,1.5467424,0.1725696
33300,555,22.492,1.5114624,0.169344
33600,560,21.972,1.4765184,0.1677312
33900,565,21.485,1.443792,0.15708672
34200,570,20.97,1.409184,0.1661184
34500,575,20.474,1.3758528,0.15998976
34800,580,19.987,1.3431264,0.15708672
35100,585,19.497,1.3101984,0.1580544
35400,590,19.031,1.2788832,0.15031296
35700,595,18.554,1.2468288,0.15386112
36000,600,18.106,1.2167232,0.14450688
36300,605,17.647,1.1858784,0.14805504
36600,610,17.199,1.1557728,0.14450688
36900,615,16.756,1.1260032,0.14289408
37200,620,16.331,1.0974432,0.137088
37500,625,15.897,1.0682784,0.13999104
37800,630,15.483,1.0404576,0.13353984
38100,635,15.052,1.0114944,0.13902336
38400,640,14.639,0.9837408,0.13321728
38700,645,14.238,0.9567936,0.12934656
39000,650,13.852,0.9308544,0.12450816
39300,655,13.454,0.9041088,0.12837888
39600,660,13.072,0.8784384,0.12321792
39900,665,12.682,0.8522304,0.1257984
40200,670,12.319,0.8278368,0.11708928
40500,675,11.949,0.8029728,0.1193472
40800,680,11.596,0.7792512,0.11386368
41100,685,11.231,0.7547232,0.1177344
41400,690,10.896,0.7322112,0.1080576
41700,695,10.543,0.7084896,0.11386368
42000,700,10.217,0.6865824,0.10515456
42300,705,9.886,0.6643392,0.10676736
42600,710,9.552,0.6418944,0.10773504
42900,715,9.2297,0.62023584,0.103961088
43200,720,8.92,0.599424,0.099896832
43500,725,8.641,0.5806752,0.08999424
43800,730,8.334,0.5600448,0.09902592
44100,735,8.0377,0.54013344,0.095574528
44400,740,7.7523,0.52095456,0.092058624
44700,745,7.4623,0.50146656,0.0935424
45000,750,7.188,0.4830336,0.088478208
45300,755,6.921,0.4650912,0.08612352
45600,760,6.652,0.4470144,0.08676864
45900,765,6.3927,0.42958944,0.083639808
46200,770,6.1377,0.41245344,0.0822528
46500,775,5.892,0.3959424,0.079252992
46800,780,5.645,0.379344,0.07967232
47100,785,5.3943,0.36249696,0.080865792
47400,790,5.174,0.3476928,0.071059968
47700,795,4.942,0.3321024,0.07483392
48000,800,4.7183,0.31706976,0.072156672
48300,805,4.5067,0.30285024,0.068253696
48600,810,4.2913,0.28837536,0.069479424
48900,815,4.0873,0.27466656,0.06580224
49200,820,3.8893,0.26136096,0.06386688
49500,825,3.6947,0.24828384,0.062770176
49800,830,3.5077,0.23571744,0.06031872
50100,835,3.3183,0.22298976,0.061092864
50400,840,3.1427,0.21118944,0.056641536
50700,845,2.966,0.1993152,0.056996352
51000,850,2.803,0.1883616,0.05257728
51300,855,2.6367,0.17718624,0.053641728
51600,860,2.4873,0.16714656,0.048190464
51900,865,2.3363,0.15699936,0.04870656
52200,870,2.18,0.146496,0.050416128
52500,875,2.032,0.1365504,0.04773888
52800,880,1.8907,0.12705504,0.045577728
