Study,link,Maximum Quantum Yield,Effective Quantum Yield,Symbiont Cell Density,Chlorophyll Concentration,ETRmax,Ek,Bleaching Color,Chlorophyll Fluorescence,Photosynthesis Rate,Respiration Rate,Calcification,Growth Rate,Heat Tolerance,Tissue Loss,Mortality,Pc or Pcrit,Pcmax,Total Oxyregulation,Enzyme Activity,Metabolite Concentration,Protien Content,Mitochondrial Dynamics,Gene Expression,Prokaryotic Microbiome
Alderdice et al. 2021 ,https://doi.org/10.1111/gcb.15436,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Haas et al. 2014 ,https://doi.org/10.7717/peerj.235,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altieri et al. 2017 ,https://doi.org/10.1073/pnas.1621517114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Alva Garia et al. 2022 ,https://doi.org/10.3389/fmars.2022.945293,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Lunden et al. 2014 ,https://doi.org/10.3389/fmars.2014.00078,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Dodds et al. 2007 ,https://doi.org/10.1016/j.jembe.2007.05.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castrillon-Ciluentes et al. 2023 ,https://peerj.com/articles/14586/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Castrillon-Ciluentes et al. 2023b ,https://www.frontiersin.org/articles/10.3389/fmars.2023.1212717/full#h3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Jain et al. 2023 ,https://doi.org/10.3390/jmse11020403 ,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Pontes et al. 2023 ,https://doi.org/10.3389/fmars.2023.1120262,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Murphy & Richmond 2016 ,https://peerj.com/articles/1956/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Swaminathan et al. 2024 ,https://www.frontiersin.org/articles/10.3389/fmars.2023.1301474/full,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
